Facility Id|Facility Name|City|State|Zip Code|Address|Latitude|Longitude|Total reported direct emissions|CO2 emissions (non-biogenic) |Methane (CH4) emissions |Nitrous Oxide (N2O) emissions |Stationary Combustion|Electricity Generation
1006203|ARKALON ETHANOL LLC|LIBERAL|KS|67901|8664 RD P|37.107705|-100.796294|113875.22|113757.4|53.75|64.07|113875.22|
1002209|ARKANSAS LIME COMPANY|BATESVILLE|AR|72501|600 LIMEDALE ROAD|35.794009|-91.718918|491117.57|489567.1|577.5|972.97|208847.57|
1006644|ARKEMA BEAUMONT PLANT|BEAUMONT|TX|77701|2810 GULF STATES ROAD|30.060226|-94.058976|79397.2|79315|37.5|44.7|79397.2|
1006797|ARKEMA INC CLEAR LAKE|PASADENA|TX|77507|9502 BAYPORT BLVD STE B|29.624369|-95.062877|54104.296|54048.4|25.5|30.396|54104.296|
1005721|ARKEMA, INC.|CALVERT CITY|KY|42029|4444 INDUSTRIAL PARKWAY|37.04943|-88.36725|74029.7|73577.5|35|417.2|74029.7|
1006785|ARMSTRONG CEMENT & SUPPLY|CABOT|PA|16023|100 CLEARFIELD ROAD|40.7948|-79.70017|184971.37|184060.5|332.75|578.12|30.8|
1003208|ARMSTRONG WORLD IND MARIETTA CEILING PLT|MARIETTA|PA|17547|1507 RIVER ROAD|40.0586|-76.58845|68134.84|68064.1|32|38.74|68134.84|
1002968|ARMSTRONG WORLD INDUSTRIES INC.|PENSACOLA|FL|32505|300 SOUTH MYRICK ST|30.408671|-87.250165|29782.152|29701.4|14|66.752|29782.152|
1003235|ARMSTRONG WORLD INDUSTRIES, INC.|SAINT HELENS|OR|97051|1645 RAILROAD AVENUE|45.844165|-122.817421|29617.156|29537|14|66.156|29617.156|
1002515|ARTESIA GAS PLANT|ARTESIA|NM|88210||32.7564|-104.2111|60714.236|60651.664|28.6|33.972|60714.236|
1002689|ARVIN SANITARY LANDFILL|ARVIN|CA|93203|5500 NORTH WHEELER RIDGE ROAD|35.19043|-118.91456|8525||8525|||
1002494|ASARCO LLC AMARILLO COPPER REFINERY|AMARILLO|TX|79108|7001 NORTH HIGHWAY 136|35.284533|-101.730042|62033.116|61969|29.25|34.866|62033.116|
1002486|ASARCO LLC Hayden Operations|Hayden|AZ|85135|100 Hayden Avenue|33.001796|-110.777946|66069.702|66001.5|31.25|36.952|66069.702|
1002190|ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU FACILITY|ALVIN|TX|77512||29.2567|-95.2144|603070.79|602809|118.75|143.04|252346.79|
1003975|ASCEND PERFORMANCE MATERIALS LLC|GREENWOOD|SC|29646|1515 HWY 246 S|34.2306|-82.05776|47898.868|47849|22.75|27.118|47898.868|
1006137|ASH GROVE CEMENT - INKOM|INKOM|ID|83245|230 CEMENT ROAD|42.79098|-112.25082|259.548|259|0.25|0.298|259.548|
1002665|ASH GROVE CEMENT CO-CHANUTE PLANT|CHANUTE|KS|66720|1801 NORTH SANTA FE STREET|37.698902|-95.458814|945760.3|944231.3|560.5|968.5|1434.8|
1002421|ASH GROVE CEMENT COMPANY|MIDLOTHIAN|TX|76065|900 GIFCO ROAD|32.51993|-97.0068|655392.52|651213|1575|2604.52|218.1|
1002527|ASH GROVE CEMENT COMPANY-DURKEE|DURKEE|OR|97905|33060 SHIRTTAIL CREEK ROAD|44.5428|-117.4218|455451.048|453844.8|592.75|1013.498|20.348|
1007552|ASH GROVE CEMENT COMPANY-Louisville|LOUISVILLE|NE|68037|16215 HWY. 50|41.005565|-96.154917|519724.4|518055.5|611|1057.9|23110.77|
1002531|ASH GROVE CEMENT COMPANY-MONTANA CITY|CLANCY|MT|59634|100 HIGHWAY 518|46.54448|-111.92062|224558.644|223762.9|288.25|507.494|106882.344|
1002537|ASH GROVE CEMENT COMPANY-SEATTLE|SEATTLE|WA|98134|3801 EAST MARGINAL WAY SOUTH|47.56799|-122.34255|239924.6|239341|375|208.6||
1007606|ASH GROVE CEMENT-FOREMAN|Foreman|AR|71836|4343 HWY 108|33.6953|-94.423|675966.96|674145.7|668|1153.26|62909.69|
1002479|ASHLAND #2 CMPSR STA|Coalgate|OK|74538|15718 STATE HIGHWAY 31|34.735908|-96.106025|27494.296|27465.8|13|15.496|27494.296|
1004576|ASTORIA ENERGY LLC & ASTORIA ENERGY II LLC|ASTORIA|NY|11105|17-10 STEINWAY ST|40.7825|-73.8964|1276885.076|1275531|605.5|748.576||1276885.076
1007800|ATASCOCITA RECYCLING AND DISPOSAL FACILITY|HUMBLE|TX|77396|3623 WILSON ROAD|29.95135|-95.24966|292165.3627|257.695904|291907.0365|0.63027|258.590574|
1006056|ATHENS & CLARKE COUNTIES-DUNLAP ROAD LF|WINTERVILLE|GA|30683|5700 LEXINGTON RD|33.9257|-83.2634|91960||91960|||
1006778|ATI Allvac - Monroe|MONROE|NC|28110|2020 ASHCRAFT AVENUE|34.98548|-80.517139|63386.09|63316.6|30.75|38.74|63386.09|
1005442|ATI LADISH LLC|CUDAHY|WI|53110|5481 S PACKARD AVE|42.947167|-87.8615|63662.36|63596.6|30|35.76|63662.36|
1002570|ATK Launch Systems Inc|MAGNA|UT|84044|5000 SOUTH 8400 WEST|40.668293|-112.091903|29258.44|29228.3|13.75|16.39|29258.44|
1002571|ATK Launch Systems Inc|Promontory|UT|84307|9160 North Highway 83|41.646081|-112.431023|48084.244|48020.1|26|38.144|48084.244|
1003772|ATLANTIC COFFEE INDUSTRIAL SOLUTIONS, LLC|HOUSTON|TX|77003|3900 HARRISBURG BLVD.|29.7458|-95.3375|39869.492|39692|72|105.492|39869.492|
1001858|ATLANTIC COUNTY LANDFILL|EGG HARBOR TOWNSHIP|NJ|08234|6700 Delilah Road|39.41653|-74.54036|112339.7|272.2|112067.5||272.2|
