Facility Id|Facility Name|City|State|Zip Code|Address|Latitude|Longitude|Total reported direct emissions|CO2 emissions (non-biogenic) |Methane (CH4) emissions |Nitrous Oxide (N2O) emissions |Stationary Combustion|Electricity Generation||||||||||||||||||||||||||||||||||||||
1001444|AES Alamitos|LONG BEACH|CA|90803|690 N STUDEBAKER ROAD|33.7688|-118.1009|1762449.42|1760660.2|816.25|972.97|4502.684|1757946.736||||||||||||||||||||||||||||||||||||||
1005972|AES HAWAII INC|KAPOLEI|HI|96707|91-086 KAOMI LP|21.301222|-158.107306|642018.812|636257.4|2105.25|3656.162|642018.812|||||||||||||||||||||||||||||||||||||||
1001447|AES Huntington Beach|HUNTINGTON BEACH|CA|92646|21730 NEWLAND ST|33.6436|-117.9788|1542174.184|1540608|714.5|851.684|5079.68|1537094.504||||||||||||||||||||||||||||||||||||||
1001450|AES Redondo Beach|REDONDO BEACH|CA|90277|1100 N HARBOR DRIVE|33.8504|-118.395|197812.016|197610.9|91.75|109.366||197812.016||||||||||||||||||||||||||||||||||||||
1001223|AES Warrior Run|CUMBERLAND|MD|21502|11600 MEXICO FARMS RD SE|39.5944|-78.7456|1406084.794|1394818.1|4121.25|7145.444|225.7|1405859.094||||||||||||||||||||||||||||||||||||||
1003853|AFTON CHEMICAL CORP|SAUGET|IL|62201|501 MONSANTO AVE.|38.60055|-90.1729|51466.256|51413.1|24.25|28.906|51466.256|||||||||||||||||||||||||||||||||||||||
1007551|AG Energy|Ogdensburg|NY|13669|21 Entrance Avenue|44.7258|-75.4417|6188.476|6181.9|3|3.576|6188.476|0||||||||||||||||||||||||||||||||||||||
1002069|AG PROCESSING INC|EMMETSBURG|IA|50536|4739 380TH ST|43.10102|-94.65419|24229.608|24204.4|11.5|13.708|24229.608|||||||||||||||||||||||||||||||||||||||
1006054|AG PROCESSING INC-EAGLE GROVE|EAGLE GROVE|IA|50533|500 NORTH COMMERCIAL AVENUE|42.669167|-93.904444|71687.28|71613.3|33.75|40.23|71687.28|||||||||||||||||||||||||||||||||||||||
1002408|AG PROCESSING INC-SHELDON|SHELDON|IA|51201|804 2ND AVE|43.182248|-95.856177|27479.596|27451.1|13|15.496|27479.596|||||||||||||||||||||||||||||||||||||||
1002291|AG PROCESSING INCORPORATED A COOPERATIVE|DAWSON|MN|56232|800 DIAGONAL STREET|44.93265|-96.056491|39250.652|39210.1|18.5|22.052|39250.652|||||||||||||||||||||||||||||||||||||||
1007333|AGC FLAT GLASS N AMERICA INC|RICHMOND|KY|40475|201 DUNCANNON LANE|37.70034|-84.26929|97672.952|97605|31|36.952|0|||||||||||||||||||||||||||||||||||||||
1002067|AGP SOY/CORN PROCESSING|HASTINGS|NE|68901|2801 E 7TH ST|40.58971|-98.33974|190387.12|189003.5|507.5|876.12|190387.12|||||||||||||||||||||||||||||||||||||||
1005284|AGRI ENERGY LLC|LUVERNE|MN|56156|502 SOUTH WALNUT AVENUE|43.648333|-96.224444|2274.992|2262.8|11|1.192|2264.992|||||||||||||||||||||||||||||||||||||||
1002380|AGRIUM US BORGER NITROGEN OPERATIONS|BORGER|TX|79007|9201 FM 1551|35.6411|-101.4203|1026667.268|1026151.6|235.25|280.418|499861.368|||||||||||||||||||||||||||||||||||||||
1004236|AGRIUM US INC - KFO|KENNEWICK|WA|99337|227515 E BOWLES ROAD|46.165957|-119.017218|142910.896|9554.8|0.5|133355.596|1270.396|||||||||||||||||||||||||||||||||||||||
1001919|AHN Heartland Ingredients|EDDYVILLE|IA|52553|1116 Highway 137|41.14375|-92.647694|116859.66|116739.1|55|65.56|116859.66|||||||||||||||||||||||||||||||||||||||
1006430|AIR LIQUID LARGE INDUSTRIES US, LP|EL SEGUNDO|CA|90245|324 W EL SEGUNDO BLVD|33.905833|-118.401944|620672.4|620672.4||||||||||||||||||||||||||||||||||||||||||
1003724|AIR LIQUIDE - CORPUS CHRISTI SMR|CORPUS CHRISTI|TX|78407|5880 UP RIVER ROAD|27.813911|-97.472347|317571.4|317571.4||||||||||||||||||||||||||||||||||||||||||
1003730|AIR LIQUIDE - FREEPORT HYCO PLANT|FREEPORT|TX|77541|2398 VICTORIA ROAD|28.98037|-95.38396|197147|197147|||1.6|||||||||||||||||||||||||||||||||||||||
1003780|AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT|PORT NECHES|TX|77651|2121 PARK STREET|29.981116|-93.952389|3054.888|3051.6|1.5|1.788|3054.888|||||||||||||||||||||||||||||||||||||||
1003910|AIR LIQUIDE AMERICA CORP|LONGVIEW|TX|75602|2292 Callahan Rd|32.4478|-94.6875|484975.4|484975.4||||||||||||||||||||||||||||||||||||||||||
1006115|AIR LIQUIDE AMERICA CORP.|GEISMAR|LA|70734|36597 HWY 30|30.21023|-90.99085|446311.82|445851.5|210|250.32|446311.82|||||||||||||||||||||||||||||||||||||||
1003591|AIR LIQUIDE GEISMAR UTILITY SERVICES|GEISMAR|LA|70734|36183 HWY 30|30.216085|-91.002699|150611.168|150378.3|94|138.868|150611.168|||||||||||||||||||||||||||||||||||||||
1003748|AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT|RODEO|CA|94572|1391 SAN PABLO AVE|38.047952|-122.256895|914744.1|914744.1||||||||||||||||||||||||||||||||||||||||||
1003013|AIR PRODUCTS & CHEMICAL INC - LAKE CHARLES FACILITY|WESTLAKE|LA|70669|102 TROUSDALE RD|30.238889|-93.281944|792651|792651||||||||||||||||||||||||||||||||||||||||||
1002698|AIR PRODUCTS & CHEMICALS INC - Geismar SMR|GEISMAR|LA|70734|8013 HWY 3251|30.18379|-90.98836|47332|47332||||||||||||||||||||||||||||||||||||||||||
1003009|AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY|NEW ORLEANS|LA|70129|14700 INTRACOASTAL DRIVE|30.022255|-89.900984|192112.9|192112.9||||||||||||||||||||||||||||||||||||||||||
1002121|AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD|MARTINEZ|CA|94553|110 WATERFRONT RD|38.032767|-122.07594|772660|772660||||||||||||||||||||||||||||||||||||||||||
1002122|AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez|MARTINEZ|CA|94553||38.026667|-122.067222|0|0||||||||||||||||||||||||||||||||||||||||||
